OBJECT,SIGNAL,DESC,SOUND
FIBOSTOPLOSSLEVEL,CROSS_UP,Price crossed the Fibo Stop Level Line up (Open Price is below the Fibo Stop Level Line and the High price is above it),
FIBOSTOPLOSSLEVEL,CROSS_DOWN,Price crossed the Fibo Stop Level Line down (Open Price is above the  Fibo Stop Level Line and the Low priceis below it),
FIBOSTOPLOSSLEVEL,ALERT,Price is approaching the  Fibo Stop Level Line (In the alert zone  from up or down),
FIBOSTOPLOSSLEVEL,PREVIOUS,Previous  Fibo Stop Level Line Value,
FIBOSTOPLOSSLEVEL,CURRENT,Current  Fibo Stop Level Line Value,
FIBOSTOPLOSSLEVEL,CHANGED, Fibo Stop Level Line changed (the previous is opposite to the current : BULL/BEAR),
FIBOSTOPLOSSLEVEL,DISTANCE,Distance Value between the Price and the  Fibo Stop Level Line,
FIBOSTOPLOSSLEVEL,TOUCHED,Price touches the  Fibo Stop Level Line,
UPFRACTAL,ABOVE,Price is above the current Up Fractal,
UPFRACTAL,BELOW,Price is below the current Up Fractal,
UPFRACTAL,UP,Up Fractal position is nearer the actual Bar than Down Fractal ,
UPFRACTAL,DOWN,Down Fractal position is nearer the actual Bar than Up Fractal ,
UPFRACTAL,TOUCHED,Price touches Up Fractal,
UPFRACTAL,SIDEWAY,Up Fractal and Down Fractal on the same bar,
UPFRACTAL,REVERSE_DOWN,Price went higher than the Up Fractal value and actually is lower,
UPFRACTAL,REVERSE_UP,No Signal,
UPFRACTAL,CROSS_UP,Price crosses Up Fractal (Open price is lower and the High price is higher),
UPFRACTAL,CROSS_DOWN,Price crosses Down Up Fractal (Open price is higher and the High price is lower,
UPFRACTAL,ALERT,Price is approaching Up Fractal (in the alert zone from up or down),
UPFRACTAL,TARGET,Value of the first Previous Up Fractal  that is lower than the current one,
UPFRACTAL,PREVIOUS,Previous Up Fractal Value,
UPFRACTAL,CURRENT,Current Up Fractal Value,
UPFRACTAL,CHANGED,Up Fractal changes of value (a new one is formed),
UPFRACTAL,DISTANCE,Distance between the Price and the Up Fractal Value,
UPFRACTAL,NBRBARS,Number of Bars from  the Up Fractal position,
UPFRACTAL,MIDDLE,Price is in the middle of Up Fractal and Down Fractal,
DOWNFRACTAL,ABOVE,Price is above the current Down Fractal,
DOWNFRACTAL,BELOW,Price is below the current Down Fractal,
DOWNFRACTAL,UP,Down Fractal position is nearer the actual Bar than Up Fractal ,
DOWNFRACTAL,DOWN,Up Fractal position is nearer the actual Bar than Down Fractal ,
DOWNFRACTAL,TOUCHED,Price touches Down Fractal,
DOWNFRACTAL,SIDEWAY,Up Fractal and Down Fractal on the same bar,
DOWNFRACTAL,REVERSE_DOWN,No Signal,
DOWNFRACTAL,REVERSE_UP,Price went lower than the Down Fractal value and actually is higher,
DOWNFRACTAL,CROSS_UP,Price crosses Down Fractal (Open price is lower and the High price is higher),
DOWNFRACTAL,CROSS_DOWN,Price crosses Down Down Fractal (Open price is higher and the High price is lower,
DOWNFRACTAL,ALERT,Price is approaching Down Fractal (in the alert zone from up or down),
DOWNFRACTAL,TARGET,Value of the first Previous Down Fractal that is lower than the current one,
DOWNFRACTAL,PREVIOUS,Previous Down Fractal Value,
DOWNFRACTAL,CURRENT,Current Down Fractal Value,
DOWNFRACTAL,CHANGED,Down Fractal changes of value (a new one is formed),
DOWNFRACTAL,DISTANCE,Distance between the Price and the Down Fractal Value,
DOWNFRACTAL,NBRBARS,Number of Bars from  the Down Fractal position,
DOWNFRACTAL,MIDDLE,Price is in the middle of Up Fractal and Down Fractal,
RESISTANCE,ABOVE,Price is above Resistance Line,
RESISTANCE,BELOW,Price is below Resistance Line,
RESISTANCE,TOUCHED,Price touches the Resistance Line,
RESISTANCE,REVERSE_DOWN,No Signal,
RESISTANCE,REVERSE_UP,Price crosses up  than down and again up,
RESISTANCE,CROSS_UP,Prices crosses up the Resistance Line ,
RESISTANCE,CROSS_DOWN,Prices crosses down the Resistance Line ,
RESISTANCE,ALERT,Price is approaching the  Resistance  Line,
RESISTANCE,PREVIOUS,Previous Resistance Line Value,
RESISTANCE,CURRENT,Resistance Line Value,
RESISTANCE,CHANGED,Resistance Line changed,
RESISTANCE,DISTANCE,Distance between price and the Resistance Line,
RESISTANCE,NBRBARS,Number of bars since price crossed the Resistance Line,
RESISTANCE,MIDDLE,Price is in the middle of Resistance Line and Support Line,
RESISTANCE,RCROSSED,Resistance Line crosses the Support Line,
SUPPORT,ABOVE,No Signal,
SUPPORT,BELOW,Price is below the Support Line,
SUPPORT,TOUCHED,Price touches the Support Line,
SUPPORT,REVERSE_DOWN,Price crosses up  than down and again up,
SUPPORT,REVERSE_UP,No Signal,
SUPPORT,CROSS_UP,Prices crosses up the Support Line ,
SUPPORT,CROSS_DOWN,Prices crosses down the Support Line ,
SUPPORT,ALERT,Price is approaching the  Support  Line,
SUPPORT,PREVIOUS,Previous Support Line Value,
SUPPORT,CURRENT,Support Line Value,
SUPPORT,CHANGED,Support Line changed,
SUPPORT,DISTANCE,Distance between price and the Support Line,
SUPPORT,NBRBARS,Number of bars since price crossed the Support Line,
SUPPORT,MIDDLE,Price is in the middle of Resistance Line and Support Line,
SUPPORT,RCROSSED,Resistance Line crosses the Support Line,
OPEN,UP,Open Price of the current bar is higher than the previous one,
OPEN,DOWN,Open Price of the current bar is lower than the previous one,
OPEN,SIDEWAY,Open Price of the current bar is equal to the previous one,
OPEN,BULL,Open Price of the current bar is higher than the previous one (same as UP),
OPEN,BEAR,Open Price of the current bar is lower than the previous one (same as DOWN),
OPEN,PREVIOUS,Open Price of the previous bar,
OPEN,CURRENT,Open Price of the current bar,
OPEN,BELOW,Price of the current bar is below the Open Price of the Previous bar,
OPEN,ABOVE,Price of the current bar is above the Open Price of the Previous bar,
OPEN,CHANGED,Open Price of the current bar changes from BULL to BEAR or vice versa,
OPEN,CROSS_UP,Open Price is below Previous Open Price Bar while the High is Above,
OPEN,CROSS_DOWN,Open Price is above Previous Open Price Bar while the Low is Below,
OPEN,REVERSE_UP,Price Crossed the  Previous Open Price Down and now is Above,
OPEN,REVERSE_DOWN,Price Crossed the  Previous Open Price Up and now is Below,
OPEN,NBRBARS,Number of consecutive bars with the same state (BULL or BEAR),
OPEN,MAXINDAY,Highest Value of the Day, 
OPEN,MININDAY,Lowest  Value of the Day, 
OPEN,MAXINWEEK,Highest Value of the Week, 
OPEN,MININWEEK,Lowest  Value of the Week, 
OPEN,MAXINMONTH,Highest Value of the Month, 
OPEN,MININMONTH,Lowest  Value of the Month, 
OPEN,MAXINYEAR,Highest Value of the Year, 
OPEN,MININYEAR,Lowest  Value of the Year, 
OPEN,FIRSTINDAY,First Value of the Day, 
OPEN,FIRSTINWEEK,First Value of the Week, 
OPEN,FIRSTINMONTH,First Value of the Month, 
OPEN,FIRSTINYEAR,First Value of the Year, 
CLOSE,UP,Close Price of the current bar is higher than the previous one,
CLOSE,DOWN,Close Price of the current bar is lower than the previous one,
CLOSE,SIDEWAY,Close Price of the current bar is equal to the previous one,
CLOSE,BULL,Close Price of the current bar is higher than the previous one (same as UP),
CLOSE,BEAR,Close Price of the current bar is lower than the previous one (same as DOWN),
CLOSE,PREVIOUS,Close Price of the previous bar,
CLOSE,CURRENT,Close Price of the current bar,
CLOSE,CHANGED,Close Price of the current bar changes from BULL to BEAR or vice versa,
CLOSE,CROSS_UP,Open Price is below Previous Close Price Bar while the High is Above,
CLOSE,CROSS_DOWN,Open Price is above Previous Close Price Bar while the Low is Below,
CLOSE,REVERSE_UP,Price Crossed the  Previous Close Price Down and now is Above,
CLOSE,REVERSE_DOWN,Price Crossed the  Previous Close Price Up and now is Below,
CLOSE,NBRBARS,Number of consecutive bars with the same state (BULL or BEAR),
CLOSE,BELOW,Price of the current bar is below the Close Price of the Previous bar,
CLOSE,ABOVE,Price of the current bar is above the Close Price of the Previous bar,
CLOSE,MAXINDAY,Highest Value of the Day, 
CLOSE,MININDAY,Lowest  Value of the Day, 
CLOSE,MAXINWEEK,Highest Value of the Week, 
CLOSE,MININWEEK,Lowest  Value of the Week, 
CLOSE,MAXINMONTH,Highest Value of the Month, 
CLOSE,MININMONTH,Lowest  Value of the Month, 
CLOSE,MAXINYEAR,Highest Value of the Year, 
CLOSE,MININYEAR,Lowest  Value of the Year, 
CLOSE,FIRSTINDAY,First Value of the Day, 
CLOSE,FIRSTINWEEK,First Value of the Week, 
CLOSE,FIRSTINMONTH,First Value of the Month, 
CLOSE,FIRSTINYEAR,First Value of the Year, 
HIGH,UP,High Price of the current bar is higher than the previous one,
HIGH,DOWN,High Price of the current bar is lower than the previous one,
HIGH,SIDEWAY,High Price of the current bar is equal to the previous one,
HIGH,BULL,High Price of the current bar is higher than the previous one (same as UP),
HIGH,BEAR,High Price of the current bar is lower than the previous one (same as DOWN),
HIGH,PREVIOUS,High Price of the previous bar,
HIGH,CURRENT,High Price of the current bar,
HIGH,BELOW,Price of the current bar is below the High Price of the Previous bar,
HIGH,ABOVE,Price of the current bar is above the High Price of the Previous bar,
HIGH,CHANGED,Open Price of the current bar changes from BULL to BEAR or vice versa,
HIGH,CROSS_UP,Open Price is below Previous High Price Bar while the High is Above,
HIGH,CROSS_DOWN,Open Price is above Previous High Price Bar while the Low is Below,
HIGH,REVERSE_UP,Price Crossed the  Previous High Price Down and now is Above,
HIGH,REVERSE_DOWN,Price Crossed the  Previous High Price Up and now is Below,
HIGH,NBRBARS,Number of consecutive bars with the same state (BULL or BEAR),
HIGH,MAXINDAY,Highest Value of the Day, 
HIGH,MININDAY,Lowest  Value of the Day, 
HIGH,MAXINWEEK,Highest Value of the Week, 
HIGH,MININWEEK,Lowest  Value of the Week, 
HIGH,MAXINMONTH,Highest Value of the Month, 
HIGH,MININMONTH,Lowest  Value of the Month, 
HIGH,MAXINYEAR,Highest Value of the Year, 
HIGH,MININYEAR,Lowest  Value of the Year, 
HIGH,FIRSTINDAY,First Value of the Day, 
HIGH,FIRSTINWEEK,First Value of the Week, 
HIGH,FIRSTINMONTH,First Value of the Month, 
HIGH,FIRSTINYEAR,First Value of the Year, 
LOW,UP,Low Price of the current bar is higher than the previous one,
LOW,DOWN,Low Price of the current bar is lower than the previous one,
LOW,SIDEWAY,Low Price of the current bar is equal to the previous one,
LOW,BULL,Low Price of the current bar is higher than the previous one (same as UP),
LOW,BEAR,Low Price of the current bar is lower than the previous one (same as DOWN),
LOW,PREVIOUS,Low Price of the previous bar,
LOW,CURRENT,Low Price of the current bar,
LOW,ABOVE,Price is lower than the High Price,
LOW,CHANGED,Open Price of the current bar changes from BULL to BEAR or vice versa,
LOW,CROSS_UP,Open Price is below Previous Low Price Bar while the High is Above,
LOW,CROSS_DOWN,Open Price is above Previous Low Price Bar while the Low is Below,
LOW,REVERSE_UP,Price Crossed the  Previous Low Price Down and now is Above,
LOW,REVERSE_DOWN,Price Crossed the  Previous Low Price Up and now is Below,
LOW,NBRBARS,Number of consecutive bars with the same state (BULL or BEAR),
LOW,BELOW,Price of the current bar is below the Low Price of the Previous bar,
LOW,ABOVE,Price of the current bar is above the Low Price of the Previous bar,
LOW,MAXINDAY,Highest Value of the Day, 
LOW,MININDAY,Lowest  Value of the Day, 
LOW,MAXINWEEK,Highest Value of the Week, 
LOW,MININWEEK,Lowest  Value of the Week, 
LOW,MAXINMONTH,Highest Value of the Month, 
LOW,MININMONTH,Lowest  Value of the Month, 
LOW,MAXINYEAR,Highest Value of the Year, 
LOW,MININYEAR,Lowest  Value of the Year, 
LOW,FIRSTINDAY,First Value of the Day, 
LOW,FIRSTINWEEK,First Value of the Week, 
LOW,FIRSTINMONTH,First Value of the Month, 
LOW,FIRSTINYEAR,First Value of the Year, 
PIVOT_RESISTANCE2,ABOVE,Price is above the Pivot Resistance 2 Line,
PIVOT_RESISTANCE2,BELOW,Price is below the Pivot Resistance 2 Line,
PIVOT_RESISTANCE2,UP,Pivot Resistance 2 Line Value is higher than the previous one,
PIVOT_RESISTANCE2,DOWN,Pivot Resistance 2 Line Value is lower than the previous one,
PIVOT_RESISTANCE2,TOUCHED,Price touches the Pivot Resistance 2 Line,
PIVOT_RESISTANCE2,SIDEWAY,Pivot Resistance 2 Line Value is the same than the previous one,
PIVOT_RESISTANCE2,REVERSE_DOWN,Price Crossed the Pivot  Resistance 2 Line Up and now is Below,
PIVOT_RESISTANCE2,REVERSE_UP,Price Crossed the Pivot Resistance 2 Line Down and now is Above,
PIVOT_RESISTANCE2,CROSS_UP,Open price of the bar is under the Pivot Resistance 2 Line while the high is Above,
PIVOT_RESISTANCE2,CROSS_DOWN,Open price of the bar is above the Pivot Resistance 2 Line while the low is Below,
PIVOT_RESISTANCE2,ALERT,Price is approaching the Pivot Resistance 2 Line,
PIVOT_RESISTANCE2,PREVIOUS,Previous Pivot Resistance 2 Line Value,
PIVOT_RESISTANCE2,CURRENT,Current Pivot Resistance 2 Line Value,
PIVOT_RESISTANCE2,CHANGED,Pivot Resistance 2 Changed,
PIVOT_RESISTANCE2,DISTANCE,Distance between the Price and the Pivot Resistance 2 Line Value,
PIVOT_RESISTANCE2,MIDDLE,Price is in the middle of Pivot Resistance 2 and Resistance 1,
PIVOT_RESISTANCE1,ABOVE,Price is above the Pivot Resistance 1 Line,
PIVOT_RESISTANCE1,BELOW,Price is below the Pivot Resistance 1 Line,
PIVOT_RESISTANCE1,UP,Pivot Resistance 1 Line Value is higher than the previous one,
PIVOT_RESISTANCE1,DOWN,Pivot Resistance 1 Line Value is lower than the previous one,
PIVOT_RESISTANCE1,TOUCHED,Price touches the Pivot Resistance 1 Line,
PIVOT_RESISTANCE1,SIDEWAY,Pivot Resistance 1 Line Value is the same than the previous one,
PIVOT_RESISTANCE1,REVERSE_DOWN,Price Crossed the Pivot  Resistance 1 Line Up and now is Below,
PIVOT_RESISTANCE1,REVERSE_UP,Price Crossed the Pivot Resistance 1 Line Down and now is Above,
PIVOT_RESISTANCE1,CROSS_UP,Open price of the bar is under the Pivot Resistance 1 Line while the high is Above,
PIVOT_RESISTANCE1,CROSS_DOWN,Open price of the bar is above the Pivot Resistance 1 Line while the low is Below,
PIVOT_RESISTANCE1,ALERT,Price is approaching the Pivot Resistance 1 Line,
PIVOT_RESISTANCE1,PREVIOUS,Previious Pivot Resistance 1 Line Value,
PIVOT_RESISTANCE1,CURRENT,Current Pivot Resistance 1 Line Value,
PIVOT_RESISTANCE1,CHANGED,Pivot Resistance 1 changed,
PIVOT_RESISTANCE1,DISTANCE,Distance between the Price and the Pivot Resistance 1 Line Value,
PIVOT_RESISTANCE1,MIDDLE,Price is in the middle of Pivot Resistance 2 and Resistance 1,
PIVOT_RESISTANCE,ABOVE,Price is above the Pivot Resistance Line,
PIVOT_RESISTANCE,BELOW,Price is below the Pivot Resistance Line,
PIVOT_RESISTANCE,UP,Pivot Resistance Line Value is higher than the previous one,
PIVOT_RESISTANCE,DOWN,Pivot Resistance Line Value is lower than the previous one,
PIVOT_RESISTANCE,TOUCHED,Price touches the Pivot Resistance Line,
PIVOT_RESISTANCE,SIDEWAY,Pivot Resistance Line Value is the same than the previous one,
PIVOT_RESISTANCE,REVERSE_DOWN,Price Crossed the Pivot  Resistance Line Up and now is Below,
PIVOT_RESISTANCE,REVERSE_UP,Price Crossed the Pivot Resistance Line Down and now is Above,
PIVOT_RESISTANCE,CROSS_UP,Open price of the bar is under the Pivot Resistance Line while the high is Above,
PIVOT_RESISTANCE,CROSS_DOWN,Open price of the bar is above the Pivot Resistance Line while the low is Below,
PIVOT_RESISTANCE,ALERT,Price is approaching the Pivot Resistance Line,
PIVOT_RESISTANCE,PREVIOUS,Previious Pivot Resistance Line Value,
PIVOT_RESISTANCE,CURRENT,Current Pivot Resistance Line Value,
PIVOT_RESISTANCE,CHANGED,Pivot Resistance changed,
PIVOT_RESISTANCE,DISTANCE,Distance between the Price and the Pivot Resistance  Line Value,
PIVOT_RESISTANCE,MIDDLE,Price is in the middle of Pivot Resistance 2 and Resistance 1,
PIVOT_HIGH,ABOVE,Price is above the Pivot High Line,
PIVOT_HIGH,BELOW,Price is below the Pivot High Line,
PIVOT_HIGH,UP,Pivot High Line Value is higher than the previous one,
PIVOT_HIGH,DOWN,Pivot High Line Value is lower than the previous one,
PIVOT_HIGH,TOUCHED,Price touches the Pivot High Line,
PIVOT_HIGH,SIDEWAY,Pivot High Line Value is the same than the previous one,
PIVOT_HIGH,REVERSE_DOWN,Price Crossed the Pivot  High Line Up and now is Below,
PIVOT_HIGH,REVERSE_UP,Price Crossed the Pivot High Line Down and now is Above,
PIVOT_HIGH,CROSS_UP,Open price of the bar is under the Pivot High Line while the high is Above,
PIVOT_HIGH,CROSS_DOWN,Open price of the bar is above the Pivot High Line while the low is Below,
PIVOT_HIGH,ALERT,Price is approaching the Pivot High Line,
PIVOT_HIGH,PREVIOUS,Previious Pivot High Line Value,
PIVOT_HIGH,CURRENT,Current Pivot High Line Value,
PIVOT_HIGH,CHANGED,Pivot High changed,
PIVOT_HIGH,DISTANCE,Distance between the Price and the Pivot High Line Value,
PIVOT_HIGH,MIDDLE,Price is in the middle of Pivot High and the Pivot Line,
PIVOT_POINT,ABOVE,Price is above Pivot Line,
PIVOT_POINT,BELOW,Price is below Pivot Line,
PIVOT_POINT,UP,Pivot Line is higher than the previous Pivot Line,
PIVOT_POINT,DOWN,Pivot Line is lower than the previous Pivot Line,
PIVOT_POINT,TOUCHED,Price touches the Pivot Line,
PIVOT_POINT,SIDEWAY,Privot Line is the same than the previous Pivot Line,
PIVOT_POINT,REVERSE_DOWN,Price Crossed the Pivot Line Up and now is Below,
PIVOT_POINT,REVERSE_UP,Price Crossed the Pivot Line Down and now is Above,
PIVOT_POINT,CROSS_UP,Open price of the bar is under the Pivot Line while the high is Above,
PIVOT_POINT,CROSS_DOWN,Open price of the bar is above the Pivot Line while the low is Below,
PIVOT_POINT,ALERT,Price is approaching the Pivot Line ,
PIVOT_POINT,PREVIOUS,Previous Pivot  Line Value,
PIVOT_POINT,CURRENT,Current Pivot Line Value,
PIVOT_POINT,CHANGED,Pivot Line changed,
PIVOT_POINT,DISTANCE,Distance between the Price and the Pivot  Line Value,
PIVOT_LOW,ABOVE,Price is above the Pivot Low Line,
PIVOT_LOW,BELOW,Price is below the Pivot Low Line,
PIVOT_LOW,UP,Pivot Low Line Value is higher than the previous one,
PIVOT_LOW,DOWN,Pivot Low Line Value is lower than the previous one,
PIVOT_LOW,TOUCHED,Price touches the Pivot Low Line,
PIVOT_LOW,SIDEWAY,Pivot Low Line Value is the same than the previous one,
PIVOT_LOW,REVERSE_DOWN,Price Crossed the Pivot  Low Line Up and now is Below,
PIVOT_LOW,REVERSE_UP,Price Crossed the Pivot Low Line Down and now is Above,
PIVOT_LOW,CROSS_UP,Open price of the bar is under the Pivot Low Line while the high is Above,
PIVOT_LOW,CROSS_DOWN,Open price of the bar is above the Pivot Low Line while the low is Below,
PIVOT_LOW,ALERT,Price is approaching the Pivot Low Line,
PIVOT_LOW,PREVIOUS,Previous Pivot Low Line Value,
PIVOT_LOW,CURRENT,Current Pivot Low Line Value,
PIVOT_LOW,CHANGED,Pivot Low Changed,
PIVOT_LOW,DISTANCE,Distance between the Price and the Pivot Low Line Value,
PIVOT_LOW,MIDDLE,Price is in the middle of Pivot Low and Pivot Line,
PIVOT_SUPPORT,ABOVE,Price is above the Pivot Support  Line,
PIVOT_SUPPORT,BELOW,Price is below the Pivot Support  Line,
PIVOT_SUPPORT,UP,Pivot Support  Line Value is higher than the previous one,
PIVOT_SUPPORT,DOWN,Pivot Support  Line Value is lower than the previous one,
PIVOT_SUPPORT,TOUCHED,Price touches the Pivot Support  Line,
PIVOT_SUPPORT,SIDEWAY,Pivot Support  Line Value is the same than the previous one,
PIVOT_SUPPORT,REVERSE_DOWN,Price Crossed the Pivot  Support  Line Up and now is Below,
PIVOT_SUPPORT,REVERSE_UP,Price Crossed the Pivot Support  Line Down and now is Above,
PIVOT_SUPPORT,CROSS_UP,Open price of the bar is under the Pivot Support  Line while the high is Above,
PIVOT_SUPPORT,CROSS_DOWN,Open price of the bar is above the Pivot Support  Line while the low is Below,
PIVOT_SUPPORT,ALERT,Price is approaching the Pivot Support  Line,
PIVOT_SUPPORT,PREVIOUS,Previious Pivot Support  Line Value,
PIVOT_SUPPORT,CURRENT,Current Pivot Support  Line Value,
PIVOT_SUPPORT,CHANGED,Pivot Support changed,
PIVOT_SUPPORT,DISTANCE,Distance between the Price and the Pivot Support Line Value,
PIVOT_SUPPORT,MIDDLE,Price is in the middle of Pivot Support  and Pivot Line,
PIVOT_SUPPORT1,ABOVE,Price is above the Pivot Support 1 Line,
PIVOT_SUPPORT1,BELOW,Price is below the Pivot Support 1 Line,
PIVOT_SUPPORT1,UP,Pivot Support 1 Line Value is higher than the previous one,
PIVOT_SUPPORT1,DOWN,Pivot Support 1 Line Value is lower than the previous one,
PIVOT_SUPPORT1,TOUCHED,Price touches the Pivot Support 1 Line,
PIVOT_SUPPORT1,SIDEWAY,Pivot Support 1 Line Value is the same than the previous one,
PIVOT_SUPPORT1,REVERSE_DOWN,Price Crossed the Pivot  Support 1 Line Up and now is Below,
PIVOT_SUPPORT1,REVERSE_UP,Price Crossed the Pivot Support 1 Line Down and now is Above,
PIVOT_SUPPORT1,CROSS_UP,Open price of the bar is under the Pivot Support 1 Line while the high is Above,
PIVOT_SUPPORT1,CROSS_DOWN,Open price of the bar is above the Pivot Support 1 Line while the low is Below,
PIVOT_SUPPORT1,ALERT,Price is approaching the Pivot Support 1 Line,
PIVOT_SUPPORT1,PREVIOUS,Previious Pivot Support 1 Line Value,
PIVOT_SUPPORT1,CURRENT,Current Pivot Support 1 Line Value,
PIVOT_SUPPORT1,CHANGED,Pivot Support 1 changed,
PIVOT_SUPPORT1,DISTANCE,Distance between the Price and the Pivot Support 1 Line Value,
PIVOT_SUPPORT1,MIDDLE,Price is in the middle of Pivot Support 1 and Pivot Support ,
PIVOT_SUPPORT2,ABOVE,Price is above the Pivot Support 2 Line,
PIVOT_SUPPORT2,BELOW,Price is below the Pivot Support 2 Line,
PIVOT_SUPPORT2,UP,Pivot Support 2 Line Value is higher than the previous one,
PIVOT_SUPPORT2,DOWN,Pivot Support 2 Line Value is lower than the previous one,
PIVOT_SUPPORT2,TOUCHED,Price touches the Pivot Support 2 Line,
PIVOT_SUPPORT2,SIDEWAY,Pivot Support 2 Line Value is the same than the previous one,
PIVOT_SUPPORT2,REVERSE_DOWN,Price Crossed the Pivot  Support 2 Line Up and now is Below,
