Type,RID,PIX,AID,Vendor,Name,Country,Description,BANK CODE
,A000000157,70020,A0000001570020,Z?hlke Engineering AG,MasterCard,Switzerland,,
,A000000157,70021,A0000001570021,Z?hlke Engineering AG,Maestro,Switzerland,,
,A000000157,70022,A0000001570022,Z?hlke Engineering AG,Maestro,Switzerland,,
,A000000157,70023,A0000001570023,Z?hlke Engineering AG,CASH,Switzerland,,
,A000000157,70030,A0000001570030,Z?hlke Engineering AG,VISA,Switzerland,,
,A000000157,70031,A0000001570031,Z?hlke Engineering AG,VISA,Switzerland,,
,A000000157,70040,A0000001570040,Z?hlke Engineering AG,JCB,Switzerland,,
,A000000157,70050,A0000001570050,Z?hlke Engineering AG,Postcard,Switzerland,,
,A000000157,70051,A0000001570051,Z?hlke Engineering AG,Postcard,Switzerland,,
,A000000157,70100,A0000001570100,Z?hlke Engineering AG,MCard,Switzerland,,
,A000000157,70104,A0000001570104,Z?hlke Engineering AG,MyOne,Switzerland,,
,A000000157,70109,A0000001570109,Z?hlke Engineering AG,Mediamarkt Card,Switzerland,,
,A000000157,7010A,A000000157010A,Z?hlke Engineering AG,Gift Card,Switzerland,,
,A000000157,7010B,A000000157010B,Z?hlke Engineering AG,Bonuscard,Switzerland,,
,A000000157,7010C,A000000157010C,Z?hlke Engineering AG,WIRCard,Switzerland,,
,A000000157,7010D,A000000157010D,Z?hlke Engineering AG,Power Card,Switzerland,,
,A000000157,74443,A0000001574443,Z?hlke Engineering AG,DINERS CLUB,Switzerland,,
,A000000157,74444,A0000001574444,Z?hlke Engineering AG,Supercard Plus,Switzerland,,
JCOP,A000000167,7413000FF,A000000167413000FF,IBM,JCOP Identify Applet,Germany,identify in JCOP-tools returns eg 27 34 01 2E 00 00 00 00 4E 58 37 35 31 41 00 03 28 62 B3 6A 82,
,A000000167,7413001,A000000167413001,IBM,FIPS 140-2,Germany,?,
EMV,A000000172,2950001,A000000172950001,Financial Information Service Co. Ltd.,BAROC Financial Application Taiwan,Taiwan,The Bankers Association of the Republic of China,
,A000000177,7504B43532D3135,A000000177504B43532D3135,Minist?re de L'Int?rieur,BelPIC (Belgian Personal Identity Card),Belgium,,
EMV,A000000185,50002,A0000001850002,Post Office Limited,UK Post Office Account card,United Kingdom,,
,A000000188,84443,A0000001884443,Diners Club Switzerland Ltd,DINERS CLUB,Switzerland,,
,A000000204,40000,A0000002040000,Association for Payment Clearing Services,?,United Kingdom,,
EMV,A000000228,81010,A0000002281010,Saudi Arabian Monetary Agency (SAMA),SPAN (M/Chip),Kingdom of Saudi Arabia,SPAN2 (Saudi Payments Network) - Saudi Arabia domestic credit/debit card (Saudi Arabia Monetary Agency),
EMV,A000000228,82010,A0000002282010,Saudi Arabian Monetary Agency (SAMA),SPAN (VIS),Kingdom of Saudi Arabia,SPAN2 (Saudi Payments Network) - Saudi Arabia domestic credit/debit card (Saudi Arabia Monetary Agency),
,A000000228,820101010,A00000022820101010,Saudi Arabian Monetary Agency (SAMA),SPAN,Kingdom of Saudi Arabia,SPAN2 (Saudi Payments Network) - Saudi Arabia domestic credit/debit card (Saudi Arabia Monetary Agency),
MRTD,A000000247,71001,A0000002471001,ISO JTC1/SC17/WG3,Machine Readable Travel Documents (MRTD),United Kingdom,Electronic (Biometric) Passport. Issuer stored data application (The last three digits of the PIX shall be used to denote future version levels.),
MRTD,A000000247,72001,A0000002472001,ISO JTC1/SC17/WG3,Machine Readable Travel Documents (MRTD),United Kingdom,Electronic (Biometric) Passport. Application for hashes; digital signature; and certificate (The last three digits of the PIX shall be used to denote future version levels.),
EMV,A000000277,71010,A0000002771010,Interac Association,INTERAC,Canada,Canadian domestic credit/debit card,
,A000000306,600000000000000,A00000030600000000000000,PS/SC Workgroup,PC/SC Initial access data AID,United States,Possibly not an application...,
,A000000308,8000010000100,A000000308000010000100,National Institute of Standards and Technology,Personal Identity Verification (PIV) / ID-ONE PIV BIO,United States,PIV End Point Applet. Last 2 bytes designate version?,
EMV,A000000315,510100528,A00000031510100528,Currence Holding/PIN BV,Currence PuC,The Netherlands,,
EMV,A000000315,56020,A0000003156020,Currence Holding/PIN BV,Chipknip,The Netherlands,,
,A000000323,301,A00000032301,Identity Alliance,MUSCLE Applet Package,United States,http://osdir.com/ml/lib.muscle/2005-12/msg00066.html,
,A000000323,30101,A0000003230101,Identity Alliance,MUSCLE Applet Instance,United States,http://osdir.com/ml/lib.muscle/2005-12/msg00066.html,
,A000000324,41010,A0000003241010,Discover Financial Services LLC,Discover Expresspay (ZIP),United States,,
,A000000333,3010101,A000000333010101,China Unionpay Co. Ltd,UnionPay Debit,China,,
,A000000333,3010102,A000000333010102,China Unionpay Co. Ltd,UnionPay Credit,China,,
,A000000333,3010103,A000000333010103,China Unionpay Co. Ltd,UnionPay Quasi Credit,China,,
,A000000333,3010106,A000000333010106,China Unionpay Co. Ltd,UnionPay Electronic Cash,China,,
,A000000359,91010,A0000003591010,Euro Alliance of Payment Schemes s.c.r.l. - EAPS,,Belgium,Unknown,
EMV,A000000359,91010028001,A0000003591010028001,Euro Alliance of Payment Schemes s.c.r.l. - EAPS,Girocard EAPS,Belgium,ZKA (Germany),
,A000000359,910100380,A00000035910100380,Euro Alliance of Payment Schemes s.c.r.l. - EAPS,,Belgium,PagoBANCOMAT,
,A000000366,60001,A0000003660001,Poste Italiane S.P.A,Postamat,Italy,,
,A000000366,60002,A0000003660002,Poste Italiane S.P.A,Postamat VISA,Italy,,
EMV,A000000371,10001,A0000003710001,Interswitch Limited,InterSwitch Verve Card,Nigeria,Nigerian local switch company,
,A000000396,64D66344D0002,A0000003964D66344D0002,NXP Semiconductors Germany GmbH,MIFARE4MOBILE,Germany,NXP Mf4M,
,A000000397,742544659,A00000039742544659,Microsoft Corporation,Microsoft IDMP AID,United States,Identity Device With Microsoft Generic Profile application. 2 bytes can be added at the end. This byte must be set to the IDMP specification revision number which is currently 0x01. The second byte (yy) is reserved for use by the card application.,
,A000000397,74349445F0100,A0000003974349445F0100,Microsoft Corporation,Microsoft PNP AID,United States,MS Plug and Play,
,A000000427,71010,A0000004271010,Unibanco (Hipercard),Hiperchip,Brazil,,
,A000000432,20001,A0000004320001,???100,Universal Electronic Card,Russia,,
,A000000439,91010,A0000004391010,ACCEL/Exchange,Exchange ATM card,United States,The Exchange Network ATM Network,
EMV,A000000454,40010,A0000004540010,eTranzact,Etranzact Genesis Card,Nigeria,Nigerian local switch company,
EMV,A000000454,40011,A0000004540011,eTranzact,Etranzact Genesis Card 2,Nigeria,Nigerian local switch company,
,A000000476,62010,A0000004762010,Google,GOOGLE_CONTROLLER_AID,United States,GOOGLE_LOCKET_AID,
,A000000476,63030,A0000004763030,Google,GOOGLE_MIFARE_MANAGER_AID,United States,,
EMV,A000000476,66C,A0000004766C,Google,GOOGLE_PAYMENT_AID,United States,,
GP,A000000476,6A010,A000000476A010,Google,GSD_MANAGER_AID,United States,,
GP,A000000476,6A110,A000000476A110,Google,GSD_MANAGER_AID,United States,,
,A000000485,5,A000000485,JVL Ventures; LLC (Softcard),Softcard SmartTap,United States,,
EMV,A000000524,41010,A0000005241010,RuPay,RuPay,India,RuPay (India),
YKNEO,A000000527,71002,A0000005271002,Yubico,Yubikey NEO U2F Demo applet,Sweden,Universal 2-Factor Proof-of-concept/Demo,
YKNEO,A000000527,7200101,A000000527200101,Yubico,Yubikey NEO Yubikey2 applet interface,Sweden,Javacard Applet AID,
YKNEO,A000000527,7210101,A000000527210101,Yubico,Yubikey NEO OATH Applet,Sweden,Javacard Applet AID,
,A000000559,91010FFFFFFFF8900000100,A0000005591010FFFFFFFF8900000100,GSMA (GSM Association),ISD-R Application. Used as TAR.,United Kingdom,,
,A000000559,91010FFFFFFFF8900000200,A0000005591010FFFFFFFF8900000200,GSMA (GSM Association),ECASD Application. Used as TAR.,United Kingdom,,
,A000000559,91010FFFFFFFF8900000D00,A0000005591010FFFFFFFF8900000D00,GSMA (GSM Association),ISD-P Executable Load File.,United Kingdom,,
,A000000559,91010FFFFFFFF8900000E00,A0000005591010FFFFFFFF8900000E00,GSMA (GSM Association),ISD-P Executable Module.,United Kingdom,,
,A000000559,91010FFFFFFFF8900000F00,A0000005591010FFFFFFFF8900000F00,GSMA (GSM Association),Reserved value for the Profile's ISD-P,United Kingdom,,
,A000000559,91010FFFFFFFF8900001000,A0000005591010FFFFFFFF8900001000,GSMA (GSM Association),ISD-P Application ,United Kingdom,,
,A000000620,00620,A0000006200620,Debit Network Alliance (DNA),Debit Network Alliance (DNA),United States,Common U.S. Debit,
EMV,B012345678,8,B012345678,MasterCard International,Maestro TEST,United States,Used for development,
,D040000001,1000002,D040000001000002,Paylife,Paylife Quick (IEP). Preloaded Electronic Purse,Austria,Domestic Payment System (Version 2.1),
,D040000002,2000002,D040000002000002,Austria Card,RFU,Austria,Domestic Payment System (Version 2.1),
,D040000003,3000002,D040000003000002,Austria Card,POS,Austria,Domestic Payment System (Version 2.1),
,D040000004,4000002,D040000004000002,Austria Card,ATM,Austria,Domestic Payment System (Version 2.1),
,D04000000B,B000002,D04000000B000002,Austria Card,Retail,Austria,Domestic Loyalty Program (Version 2.1),
,D04000000C,C000002,D04000000C000002,Austria Card,Bank_Data,Austria,Domestic Loyalty Program (Version 2.1),
,D04000000D,D000002,D04000000D000002,Austria Card,Shopping,Austria,Domestic Loyalty Program (Version 2.1),
,D040000013,3000001,D040000013000001,Austria Card,DF_UNI_Kepler1,Austria,Domestic Loyalty Program (Version 2.0),
,D040000013,3000001,D040000013000001,Austria Card,DF_Sch?ler1,Austria,Domestic Loyalty Program (Version 1.3),
,D040000013,3000002,D040000013000002,Austria Card,DF_UNI_Kepler2,Austria,Domestic Loyalty Program (Version 2.0),
,D040000013,3000002,D040000013000002,Austria Card,DF_Sch?ler2,Austria,Domestic Loyalty Program (Version 1.3),
,D040000014,4000001,D040000014000001,Austria Card,DF_Mensa,Austria,Domestic Loyalty Program (Version 2.0),
,D040000015,5000001,D040000015000001,Austria Card,DF_UNI_Ausweis,Austria,Domestic Loyalty Program (Version 2.0),
,D040000015,5000001,D040000015000001,Austria Card,DF_Ausweis,Austria,Domestic Loyalty Program (Version 1.3),
,D040000019,90001,D0400000190001,Austria Card,EMV ATM Maestro,Austria,Domestic EMV Application (Version 2.1),
,D040000019,90002,D0400000190002,Austria Card,EMV POS Maestro,Austria,Domestic EMV Application (Version 2.1),
,D040000019,90003,D0400000190003,Austria Card,EMV ATM MasterCard,Austria,Domestic EMV Application (Version 2.1),
,D040000019,90004,D0400000190004,Austria Card,EMV POS MasterCard,Austria,Domestic EMV Application (Version 2.1),
,D040000019,90010,D0400000190010,Austria Card,Digital ID,Austria,Domestic Payment System (Version 2.1),
,D276000005,5,D276000005,Giesecke&Devrient,,Germany,Giesecke & Devrient,
,D276000005,5AA040360010410,D276000005AA040360010410,Giesecke&Devrient,G D App Nokia 6212,Germany,,
,D276000005,5AA0503E00401,D276000005AA0503E00401,Giesecke&Devrient,G D App Nokia 6212,Germany,,
,D276000005,5AA0503E00501,D276000005AA0503E00501,Giesecke&Devrient,G D App Nokia 6212,Germany,,
,D276000005,5AA0503E0050101,D276000005AA0503E0050101,Giesecke&Devrient,G D App Nokia 6212,Germany,,
,D276000005,5AB0503E0040101,D276000005AB0503E0040101,Giesecke&Devrient,G D App Nokia 6212,Germany,,
,D276000022,200000001,D27600002200000001,IBM Laboratories,SCT LOYALTY,Germany,IBM Test card from the book 'Smart Card Application Development Using Java',
,D276000022,200000002,D27600002200000002,IBM Laboratories,BUSINESS CARD,Germany,IBM Test card from the book 'Smart Card Application Development Using Java',
,D276000022,200000060,D27600002200000060,IBM Laboratories,PKCS#11 Token,Germany,IBM Test card from the book 'Smart Card Application Development Using Java',
,D276000025,5,D276000025,ZKA,Girocard,Germany,Girocard (Geldkarte) in Germany,
,D276000025,545410100,D27600002545410100,ZKA,,Germany,Unknown,
EMV,D276000025,545500100,D27600002545500100,ZKA,Girocard,Germany,ZKA Girocard (Geldkarte) (Germany),
,D276000025,547410100,D27600002547410100,ZKA,Girocard ATM,Germany,,
,D276000060,0,D276000060,Wolfgang Rankl,,Germany,,
,D276000085,50100,D2760000850100,NXP Semiconductors / NFC Forum,NDEF Tag Application / Mifare DESFire Tag Application,Germany,NFC Forum Type 4 Tag,
,D276000085,50101,D2760000850101,NXP Semiconductors / NFC Forum,NDEF Tag Application,Germany,NFC Tag type 4 tag,
,D276000118,8,D276000118,Giesecke&Devrient Java Card Telecommunikation,,Germany,,
,D276000118,80101,D2760001180101,Giesecke&Devrient Java Card Telecommunikation,Giesecke &amp,Germany,Devrient Test Applet?,
OpenPGP,D276000124,401,D27600012401,fsfEurope,OpenPGP Card,Germany,For selection when not knowing the exact full AID,
OpenPGP,D276000124,4010101FFFF000000010000,D276000124010101FFFF000000010000,fsfEurope,OpenPGP Card,Germany,Version 1,
OpenPGP,D276000124,40102000000000000010000,D2760001240102000000000000010000,fsfEurope,OpenPGP Card,Germany,Version 2,
SmartChess,D276000124,402,D27600012402,fsfEurope,SmartChess,Germany,http://smartchess.de/englisch/SmartChess_1.0.pdf,
SmartChess,D276000124,40200010000000000000000,D2760001240200010000000000000000,fsfEurope,SmartChess,Germany,http://smartchess.de/englisch/SmartChess_1.0.pdf,
,D410000001,11010,D4100000011010,,,Republic of Korea,,
EMV,D528005021,18002,D5280050218002,,?,The Netherlands,(Netherlands),
EMV,D578000002,21010,D5780000021010,Bankaxept,Bankaxept,Norway,Norwegian domestic debit card,
,D756000001,10101,D7560000010101,Swiss Travel Fund (Reka),Reka Card,Switzerland,prepaid functional debit card,
,D756000030,00101,D7560000300101,Migros (FCM; GE Money Bank and MasterCard),M Budget,Switzerland,,
,E80704007F,F00070302,E80704007F00070302,,nPA,,German eID,
,E82881C117,702,E82881C11702,,AlphaCard application,,,
,E828BD080F,F,E828BD080F,,ISO-7816-15 EF.DIR,,Iso adoption of PKCS-15,
EMV,F000000003,30001,F0000000030001,,BRADESCO,,Brazilian Bank Banco Bradesco,
,315041592E,E5359532E4444463031,315041592E5359532E4444463031,Visa International,Visa Payment System Environment - PSE (1PAY.SYS.DDF01),United States,,
,325041592E,E5359532E4444463031,325041592E5359532E4444463031,Visa International,Visa Proximity Payment System Environment - PPSE (2PAY.SYS.DDF01),United States,Visa payWave for Mobile,
,44464D4641,12E44466172653234313031,44464D46412E44466172653234313031,DeviceFidelity,DeviceFidelity In2Pay DFare applet,United States,http://www.nfcworld.com/2010/11/24/35207/devicefidelity-adds-nfc-support-for-android-and-mifare/,
