Template;Tag;AAA;;Tag;Mandatory;Origin;;;Type;Description
;6F;File Control Information (FCI) Template;VAR;6F;;Card;0;252;constructed;Identifies the FCI template according to ISO/IEC 7816-4
;62;File Control Parameters (FCP) Template;b...252;62;;Card;var. up to 252;var. up to 252;constructed;Identifies the FCP template according to ISO/IEC 7816-4
;9F6E;Form Factor Indicator (FFI);b32;9F6E;;Card/Terminal;4;4;;Indicates the form factor of the consumer payment device and the type of contactless interface over which the transaction was conducted. This information is made available to the issuer host.
;9F6E;Form Factor Indicator (qVSDC);b32;9F6E;;Card/Terminal;4;4;;Indicates the form factor of the consumer payment device and the type of contactless interface over which the transaction was conducted. This information is made available to the issuer host.
;9F55;Geographic Indicator;H;9F55;;Card;;;;
;9F4C;ICC Dynamic Number;b2...8;9F4C;;Card;2;8;primitive;Time-variant number generated by the ICC, to be captured by the terminal
;DF5C;IDPA (Identification du Point d'Acceptation) ;ans8;DF5C;;Application;;;primitive;
;DF5E;IDSA (Identification du Syst�me d'Acceptation);ans8;DF5E;;Application;;;primitive;
70 or 77;9F2D;Integrated Circuit Card (ICC) PIN Encipherment Public Key Certificate;b;9F2D;;Card;var. (NI);var. (NI);constructed;ICC PIN Encipherment Public Key certified by the issuer
70 or 77;9F2E;Integrated Circuit Card (ICC) PIN Encipherment Public Key Exponent;b;9F2E;;Card;1 or 3;1 or 3;constructed;ICC PIN Encipherment Public Key Exponent used for PIN encipherment
70 or 77;9F2F;Integrated Circuit Card (ICC) PIN Encipherment Public Key Remainder;b;9F2F;;Card;var. (NPE - NI + 42);var. (NPE - NI + 42);constructed;Remaining digits of the ICC PIN Encipherment Public Key Modulus
70 or 77;9F46;Integrated Circuit Card (ICC) Public Key Certificate;b...128;9F46;;Card;var. up to 128;var. up to 128;primitive;ICC Public Key certified by the issuer
70 or 77;9F47;Integrated Circuit Card (ICC) Public Key Exponent;b1...3;9F47;;Card;1;3;primitive;Exponent ICC Public Key Exponent used for the verification of the Signed Dynamic Application Data
70 or 77;9F48;Integrated Circuit Card (ICC) Public Key Remainder;b;9F48;;Card;var. (NIC - NI + 42);var. (NIC - NI + 42);primitive;Remaining digits of the ICC Public Key Modulus
;9F1E;Interface Device (IFD) Serial Number;an8;9F1E;;Terminal;8;8;primitive;Unique and permanent serial number assigned to the IFD by the manufacturer
;9F53;International Bank Account Number (IBAN;b;9F53;;Card;var.;var.;;
BF0C or 73;5F53;International Bank Account Number (IBAN);VAR;5F53;;Card;0;34;primitive;Uniquely identifies the account of a customer at a financial institution as defined in ISO 13616.
70 or 77;9F0D;Issuer Action Code - Default;b40;9F0D;;Card;5;5;primitive;Specifies conditions that cause a transaction to be declined if it might have been approved online, but the Reader is unable to process the transaction online.
70 or 77;9F0E;Issuer Action Code - Denial;b40;9F0E;;Card;5;5;primitive;Specifies the issuer's conditions that cause the denial of a transaction without attempt to go online
70 or 77;9F0F;Issuer Action Code - Online;b40;9F0F;;Card;5;5;primitive;Specifies the issuer's conditions that cause a transaction to be transmitted online
77 or 80;9F10;Issuer Application Data (IAD);b;9F10;;Card;0;32;primitive;Note: For CCD-compliant applications, Annex C, section C7 defines the specific coding of the Issuer Application Data (IAD). To avoid potential conflicts with CCD-compliant applications, it is strongly recommended that the IAD data element in an application that is not CCD-compliant should not use the coding for a CCD-compliant application.
;91;Issuer Authentication Data;b8...16;91;;Issuer;var. up to 16;var. up to 16;primitive;Data sent to the ICC for online Issuer Authentication
;9F55;Issuer Authentication Flags;b;9F55;;Card;1;1;;
;9F56;Issuer Authentication Indicator;H;9F56;;Card;;;;
A5;9F11;Issuer Code Table Index;n2;9F11;;Card;1;1;primitive;Indicates the code table according to ISO/IEC 8859 for displaying the Application Preferred Name
70 or 77;5F28;Issuer Country Code;n3;5F28;;Card;2;2;primitive;Indicates the country of the issuer according to ISO 3166-1
;9F57;Issuer Country Code;b;9F57;;Card;var.;var.;;
BF0C or 73;5F55;Issuer Country Code (alpha2 format);a2;5F55;;Card;2;2;primitive;Indicates the country of the issuer as defined in ISO 3166 (using a 2 character alphabetic code)
BF0C or 73;5F56;Issuer Country Code (alpha3 format);a3;5F56;;Card;3;3;primitive;Indicates the country of the issuer as defined in ISO 3166 (using a 3 character alphabetic code)
BF0C or 73;42;Issuer Identification Number (IIN);n6;42;;Card;3;3;primitive;The number that identifies the major industry and the card issuer and that forms the first part of the Primary Account Number (PAN)
;9F56;Issuer Proprietary Bitmap;b;9F56;;Card;var.;var.;;
70 or 77;90;Issuer Public Key Certificate;b512...1984;90;;Card;var. 64-248;var. 64-248;primitive;Issuer public key certified by a certification authority
70 or 77;9F32;Issuer Public Key Exponent;b;9F32;;Card;1;3;constructed;Issuer public key exponent used for the verification of the Signed Static Application Data and the ICC Public Key Certificate
70 or 77;92;Issuer Public Key Remainder;b;92;;Card;var. (NI - NCA + 36);var. (NI - NCA + 36);primitive;Remaining digits of the Issuer Public Key Modulus
71 or 72;86;Issuer Script Command;b;86;;Issuer;var. up to 125;var. up to 125;primitive;Contains a command for transmission to the ICC
71 or 72;9F18;Issuer Script Identifier;b32;9F18;;Issuer;4;4;primitive;May be sent in authorisation response from issuer when response contains Issuer Script. Assigned by the issuer to uniquely identify the Issuer Script.
;9F5B;Issuer Script Results DSDOL;b;9F5B;;Terminal;var.;var.;;Indicates the results of Issuer Script processing. When the reader/terminal transmits this data element to the acquirer, in this version of Kernel 3, it is acceptable that only byte 1 is transmitted, although it is preferable for all five bytes to be transmitted. A data object in the Card that provides the Kernel with a list of data objects that must be passed to the Card in the data field of the GENERATE AC command after the CDOL1 Related Data. An example of value for DSDOL is 'DF6008DF6108DF6201DF63A0', representing TLDS Input (Card) TLDS Digest H TLDS ODS Info TLDS ODS Term. The Kernel must not presume that this is a given though, as the sequence and presence of data objects can vary. The presence of TL DS ODS Info is mandated and the processing of the last TL entry in DSDOL is different from normal TL processing as described in section 4.1.4.
;71;Issuer Script Template 1;b...128;71;;Issuer;var. up to 128;var. up to 128;constructed;Contains proprietary issuer data for transmission to the ICC before the second GENERATE AC command
;72;Issuer Script Template 2;b...128;72;;Issuer;var. up to 128;var. up to 128;constructed;Contains proprietary issuer data for transmission to the ICC after the second GENERATE AC command
;9F60;Issuer Update Parameter;b;9F60;;Card;1;1;;Parameter from the ICC to indicate the behaviour/ergonomics (e.g. �present-and-hold� or �two presentments� or none) for processing the results of the online authorisation request.
;5F50 ;Issuer URL ;;5F50 ;;;;;;
;9F6D;Kernel 4 Reader Capabilities;n2;9F6D;;Terminal;1;1;;A proprietary data element with bits 8, 7, and 4 only used to indicate a terminal's capability to support Kernel 4 mag-stripe or EMV contactless. This data element is OR'd with Terminal Type, Tag '9F35', resulting in a modified Tag '9F35', which is passed to the card when requested.
61;9F2A;Kernel Identifier;b;9F2A;;Card;1;1;;Indicates the card's preference for the kernel on which the contactless application can be processed.
A5;5F2D;Language Preference;an2;5F2D;;Card;2;8;primitive;1-4 languages stored in order of preference, each represented by 2 alphabetical characters according to ISO 639
;9F13;Last Online Application Transaction Counter (ATC) Register;b;9F13;;Card;2;2;primitive;ATC value of the last transaction that went online
BF0C or 73;9F4D;Log Entry;b2;9F4D;;Card;2;2;primitive;Provides the SFI of the Transaction Log file and its number of records
;9F4F;Log Format;b;9F4F;;Card;var.;var.;primitive;List (in tag and length format) of data objects representing the logged data elements that are passed to the terminal when a transaction log record is read
70 or 77;9F14;Lower Consecutive Offline Limit (LCOL);b;9F14;;Card;1;1;primitive;Issuer-specified preference for the maximum number of consecutive offline transactions for this ICC application allowed in a terminal with online capability
;9F6D;Mag-stripe Application Version Number (Reader);b;9F6D;;Card;2;2;;Version number assigned by the payment system for the specific mag-stripe mode functionality of the Kernel.
;9F5C;Magstripe Data Object List (MDOL);b;9F5C;;Card;var. up to 252;var. up to 252;;List of data objects (tag and length) to be passed to the card in the GET MAGSTRIPE DATA command.
;9F15;Merchant Category Code (MCC);n4;9F15;;Terminal;2;2;primitive;Classifies the type of business being done by the merchant, represented according to ISO 8583:1993 for Card Acceptor Business Code
;9F16;Merchant Identifier;ans15;9F16;;Terminal;15;15;primitive;When concatenated with the Acquirer Identifier, uniquely identifies a given merchant
;9F4E;Merchant Name and Location;ans;9F4E;;Terminal;var.;var.;primitive;Indicates the name and location of the merchant
;9F71;Mobile CVM Results;b32;9F71;;Card;4;4;;Proprietary data element returned from the Card in the GET PROCESSING OPTIONS response, indicating the status of Mobile CVM entry.
;9F7E;Mobile Support Indicator;b;9F7E;;Card;1;1;;The Mobile Support Indicator informs the Card that the Kernel supports extensions for mobile and requires on device cardholder verification.
;9F67;MSD Offset;b;9F67;;Card;var.;var.;;
;9F64;NATC (Track1);b;9F64;;Card;1;1;;The value of NATC(Track1) represents the number of digits of the Application Transaction Counter to be included in the discretionary data field of Track 1 Data.
;9F67;NATC (Track2);b;9F67;;Card;1;1;;The value of NATC(Track2) represents the number of digits of the Application Transaction Counter to be included in the discretionary data field of Track 2 Data.
;DF5F;Numero du Contrat accepteur;;DF5F;;Application;;;primitive;Acceptor Contract Number
;DF5B;Num�ro logique du point d'acceptation;ans3;DF5B;;Application;;;primitive;
;DF51;Num�ro logique du syst�me d'acceptation ;ans3;DF51;;Application;;;primitive;
;9F50;Offline Accumulator Balance;n12;9F50;;;6;6;;Represents the amount of offline spending available in the Card. The Offline Accumulator Balance is retrievable by the GET DATA command, if allowed by the Card configuration. Indicates the CVM choice (already done or to be subsequently applied) for the transaction. Choice is made dynamically by card based on transaction context and card risk management configuration.
;9F5F;Offline Balance;n12;9F5F;;Card;6;6;;In the case of a prepaid card, represents the value stored in card. May be returned in the GENERATE AC response.
;9F63;Offline Counter Initial Value;b;9F63;;Card;var.;var.;;
;9F60;P3 Generated 3DES KEYS;H;9F60;;Card;;;;
;51;Path;b;51;;Card;var.;var.;;A path may reference any file. It is a concatenation of file identifiers. The path begins with the identifier of a DF (the MF for an absolute path or the current DF for a relative path) and ends with the identifier of the file itself.
;9F24;Payment Account Reference (PAR) generated or linked directly to the provision request in the token vault;ans24;9F24;;Card;24;24;;Payment Account Reference: EMV contact and contactless chip specifications products may support PAR by assigning a unique EMV tag (9F24) to represent PAR. PAR SHALL be required personalisation data for payment tokens but will be optional for terminals to read and transmit.
;9F62;PCVC3 (Track1);b;9F62;;;6;6;;PCVC3(Track1) indicates to the Kernel the positions in the discretionary data field of the Track 1 Data where the CVC3 (Track1) digits must be copied.
;9F65;PCVC3 (Track2);b;9F65;;;2;2;;PCVC3(Track2) indicates to the Kernel the positions in the discretionary data field of the Track 2 Data where the CVC3 (Track2) digits must be copied.
;9F17;Personal Identification Number (PIN) Try Counter;b;9F17;;Card;1;1;primitive;Number of PIN tries remaining
;9F39;Point-of-Service (POS) Entry Mode;n2;9F39;;Terminal;1;1;constructed;Indicates the method by which the PAN was entered, according to the first two digits of the ISO 8583:1987 POS Entry Mode
A5;9F38;Processing Options Data Object List (PDOL);b;9F38;;Card;var.;var.;constructed;Contains a list of terminal resident data objects (tags and lengths) needed by the ICC in processing the GET PROCESSING OPTIONS command
;9F70;Protected Data Envelope 1;b;9F70;;;0;192;;The Protected Data Envelopes contain proprietary information from the issuer, payment system or third party. The Protected Data Envelope can be retrieved with the GET DATA command. Updating the Protected Data Envelope with the PUT DATA command requires secure messaging and is outside the scope of this specification.
;9F71;Protected Data Envelope 2;b;9F71;;;0;192;;Same as Protected Data Envelope 1.
;9F72;Protected Data Envelope 3;b;9F72;;;0;192;;Same as Protected Data Envelope 1.
;9F73;Protected Data Envelope 4;b;9F73;;;0;192;;Same as Protected Data Envelope 1.
;9F74;Protected Data Envelope 5;b;9F74;;;0;192;;Same as Protected Data Envelope 1.
;9F63;PUNATC (Track1);b;9F63;;;6;6;;PUNATC(Track1) indicates to the Kernel the positions in the discretionary data field of Track 1 Data where the Unpredictable Number (Numeric) digits and Application Transaction Counter digits have to be copied.
;70;READ RECORD Response Message Template;b...252;70;;Card;var. up to 252;var. up to 252;constructed;Contains the contents of the record read. (Mandatory for SFIs 1-10. Response messages for SFIs 11-30 are outside the scope of EMV, but may use template '70')
;80;Response Message Template Format 1;VAR;80;;Card;var.;var.;primitive;Contains the data objects (without tags and lengths) returned by the ICC in response to a command
;77;Response Message Template Format 2;VAR;77;;Card;var.;var.;constructed;Contains the data objects (with tags and lengths) returned by the ICC in response to a command
;9F76;Secondary Application Currency Code;n3;9F76;;Card;2;2;;Indicates a secondary currency to be converted to the designated currency in which the account is managed (Application Currency Code) according to ISO 4217.
70 or 77;5F30;Service Code;n3;5F30;;Card;2;2;primitive;Service code as defined in ISO/IEC 7813 for Track 1 and Track 2
;5F35;Sex (ISO 5218);;5F35;;;;;primitive;Representation of human sexes through a language-neutral single-digit code (0 = not known, 1 = male, 2 = female, 9 = not applicable)
A5;88;Short File Identifier (SFI);b8;88;;Card;1;1;primitive;Identifies the AEF referenced in commands related to a given ADF or DDF. It is a binary data object having a value in the range 1 to 30 and with the three high order bits set to zero.
77 or 80;9F4B;Signed Dynamic Application Data (SDAD);b;9F4B;;Card;var. (NIC);var. (NIC);primitive;Digital signature on critical application parameters for CDA
70 or 77;93;Signed Static Application Data (SAD);b512...1984;93;;Card;64;248;primitive;Digital signature on critical application parameters that is used in static data authentication (SDA).
;DF5D;SIRET ;ans14;DF5D;;Application;;;primitive;
70 or 77;9F4A;Static Data Authentication Tag List (SDA);;9F4A;;Card;var.;var.;primitive;List of tags of primitive data objects defined in this specification whose value fields are to be included in the Signed Static or Dynamic Application Data
;DF57;Terminal Action Code - Decline;b5;DF57;;Terminal;;;;
;DF56;Terminal Action Code - Default;b5;DF56;;Terminal;;;;
;DF58;Terminal Action Code - Online;b5;DF58;;Terminal;;;;
;9F33;Terminal Capabilities;b24;9F33;;Terminal;3;3;constructed;Indicates the card data input, CVM, and security capabilities of the Terminal and Reader. The CVM capability (Byte 2) is instantiated with values depending on the transaction amount. The Terminal Capabilities is coded according to Annex A.2 of [EMV Book 4].
;9F1A;Terminal Country Code;n3;9F1A;;Terminal;2;2;primitive;Indicates the country of the terminal, represented according to ISO 3166
